Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
114,2015-02-07,21:00:00,141,6,Saturday
115,2015-02-08,14:00:00,60,6,Sunday
116,2015-02-08,17:00:00,69,6,Sunday
117,2015-02-08,18:00:00,79,6,Sunday
118,2015-02-08,19:00:00,26,6,Sunday
119,2015-02-08,20:00:00,27,6,Sunday
120,2015-02-08,21:00:00,136,6,Sunday
121,2015-02-09,14:00:00,73,7,Monday
122,2015-02-09,15:00:00,35,7,Monday
123,2015-02-09,19:00:00,31,7,Monday
124,2015-02-10,14:00:00,52,7,Tuesday
125,2015-02-10,18:00:00,48,7,Tuesday
126,2015-02-10,19:00:00,61,7,Tuesday
127,2015-02-10,20:00:00,44,7,Tuesday
128,2015-02-11,14:00:00,84,7,Wednesday
129,2015-02-11,17:00:00,26,7,Wednesday
130,2015-02-11,18:00:00,93,7,Wednesday
131,2015-02-11,19:00:00,43,7,Wednesday
132,2015-02-11,20:00:00,74,7,Wednesday
133,2015-02-11,21:00:00,29,7,Wednesday
134,2015-02-12,14:00:00,58,7,Thursday
135,2015-02-12,18:00:00,54,7,Thursday
136,2015-02-12,21:00:00,55,7,Thursday
137,2015-02-13,14:00:00,83,7,Friday
138,2015-02-13,16:00:00,18,7,Friday
139,2015-02-13,18:00:00,54,7,Friday
140,2015-02-13,19:00:00,84,7,Friday
141,2015-02-14,14:00:00,42,7,Saturday
142,2015-02-14,15:00:00,42,7,Saturday
143,2015-02-14,17:00:00,73,7,Saturday
144,2015-02-14,18:00:00,70,7,Saturday
145,2015-02-14,19:00:00,65,7,Saturday
146,2015-02-14,21:00:00,131,7,Saturday
147,2015-02-15,14:00:00,34,7,Sunday
148,2015-02-15,15:00:00,29,7,Sunday
149,2015-02-15,18:00:00,128,7,Sunday
150,2015-02-15,19:00:00,144,7,Sunday
151,2015-02-16,14:00:00,29,8,Monday
152,2015-02-16,15:00:00,28,8,Monday
153,2015-02-16,16:00:00,49,8,Monday
154,2015-02-16,19:00:00,87,8,Monday
155,2015-02-16,20:00:00,75,8,Monday
156,2015-02-16,21:00:00,77,8,Monday
157,2015-02-17,14:00:00,33,8,Tuesday
158,2015-02-17,18:00:00,126,8,Tuesday
159,2015-02-17,19:00:00,14,8,Tuesday
160,2015-02-17,21:00:00,107,8,Tuesday
161,2015-02-18,14:00:00,53,8,Wednesday
162,2015-02-18,15:00:00,19,8,Wednesday
163,2015-02-18,19:00:00,111,8,Wednesday
164,2015-02-18,20:00:00,51,8,Wednesday
165,2015-02-18,21:00:00,97,8,Wednesday
166,2015-02-19,14:00:00,67,8,Thursday
167,2015-02-19,19:00:00,47,8,Thursday
168,2015-02-19,20:00:00,40,8,Thursday
169,2015-02-20,14:00:00,80,8,Friday
170,2015-02-20,16:00:00,42,8,Friday
171,2015-02-20,19:00:00,96,8,Friday
172,2015-02-20,20:00:00,65,8,Friday
173,2015-02-21,14:00:00,100,8,Saturday
174,2015-02-21,17:00:00,11,8,Saturday
175,2015-02-21,18:00:00,175,8,Saturday
176,2015-02-21,19:00:00,35,8,Saturday
177,2015-02-21,20:00:00,36,8,Saturday
178,2015-02-21,21:00:00,13,8,Saturday
179,2015-02-22,18:00:00,148,8,Sunday
180,2015-02-22,19:00:00,124,8,Sunday
181,2015-02-22,20:00:00,66,8,Sunday
182,2015-02-23,14:00:00,80,9,Monday
183,2015-02-23,16:00:00,83,9,Monday
