Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y
0,,14:00:00,,25,Sunday,2018-06-24,859.0
1,,20:00:00,,26,Monday,2018-06-25,358.0
2,,06:00:00,,26,Saturday,2018-06-30,1144.0
3,,08:00:00,,26,Saturday,2018-06-30,939.0
4,2017-10-14,16:00:00,509.0,41,Saturday,,
5,2017-10-14,18:00:00,330.0,41,Saturday,,
6,2017-10-12,21:00:00,155.0,41,Thursday,,
