Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
113,2019-07-11,11:00:00,65,28,Thursday
114,2019-07-11,12:00:00,52,28,Thursday
115,2019-07-11,13:00:00,29,28,Thursday
116,2019-07-12,10:00:00,0,28,Friday
117,2019-07-13,10:00:00,0,28,Saturday
118,2019-07-14,10:00:00,37,28,Sunday
119,2019-07-14,11:00:00,12,28,Sunday
120,2019-07-14,12:00:00,16,28,Sunday
121,2019-07-14,13:00:00,2,28,Sunday
122,2019-07-15,10:00:00,70,29,Monday
123,2019-07-15,11:00:00,34,29,Monday
124,2019-07-15,12:00:00,36,29,Monday
125,2019-07-15,13:00:00,30,29,Monday
126,2019-07-16,10:00:00,30,29,Tuesday
127,2019-07-16,11:00:00,61,29,Tuesday
128,2019-07-16,12:00:00,46,29,Tuesday
129,2019-07-16,13:00:00,34,29,Tuesday
130,2019-07-17,10:00:00,21,29,Wednesday
131,2019-07-17,11:00:00,23,29,Wednesday
132,2019-07-17,12:00:00,79,29,Wednesday
133,2019-07-17,13:00:00,27,29,Wednesday
134,2019-07-18,10:00:00,54,29,Thursday
135,2019-07-18,11:00:00,58,29,Thursday
136,2019-07-18,12:00:00,39,29,Thursday
137,2019-07-18,13:00:00,24,29,Thursday
138,2019-07-19,10:00:00,0,29,Friday
139,2019-07-20,10:00:00,0,29,Saturday
140,2019-07-21,10:00:00,23,29,Sunday
141,2019-07-21,11:00:00,36,29,Sunday
142,2019-07-21,12:00:00,69,29,Sunday
143,2019-07-21,13:00:00,5,29,Sunday
144,2019-07-22,10:00:00,17,30,Monday
145,2019-07-22,11:00:00,15,30,Monday
146,2019-07-22,12:00:00,7,30,Monday
147,2019-07-22,13:00:00,9,30,Monday
148,2019-07-23,10:00:00,18,30,Tuesday
149,2019-07-23,11:00:00,26,30,Tuesday
150,2019-07-23,12:00:00,11,30,Tuesday
151,2019-07-23,13:00:00,9,30,Tuesday
152,2019-07-24,10:00:00,1,30,Wednesday
153,2019-07-24,11:00:00,13,30,Wednesday
154,2019-07-24,12:00:00,22,30,Wednesday
155,2019-07-24,13:00:00,3,30,Wednesday
156,2019-07-25,10:00:00,4,30,Thursday
157,2019-07-25,11:00:00,30,30,Thursday
158,2019-07-25,12:00:00,62,30,Thursday
159,2019-07-25,13:00:00,54,30,Thursday
160,2019-07-26,10:00:00,0,30,Friday
161,2019-07-27,10:00:00,0,30,Saturday
162,2019-07-28,10:00:00,10,30,Sunday
163,2019-07-28,11:00:00,11,30,Sunday
164,2019-07-28,12:00:00,48,30,Sunday
165,2019-07-28,13:00:00,89,30,Sunday
166,2019-07-29,10:00:00,120,31,Monday
167,2019-07-29,11:00:00,40,31,Monday
168,2019-07-29,12:00:00,34,31,Monday
169,2019-07-29,13:00:00,107,31,Monday
170,2019-07-30,10:00:00,0,31,Tuesday
171,2019-07-31,10:00:00,24,31,Wednesday
172,2019-07-31,11:00:00,144,31,Wednesday
173,2019-07-31,12:00:00,71,31,Wednesday
174,2019-07-31,13:00:00,89,31,Wednesday
175,2019-08-01,10:00:00,80,31,Thursday
176,2019-08-01,11:00:00,216,31,Thursday
177,2019-08-01,12:00:00,238,31,Thursday
178,2019-08-01,13:00:00,185,31,Thursday
179,2019-08-02,10:00:00,0,31,Friday
180,2019-08-03,10:00:00,0,31,Saturday
181,2019-08-04,10:00:00,15,31,Sunday
182,2019-08-04,11:00:00,73,31,Sunday
183,2019-08-04,12:00:00,46,31,Sunday
184,2019-08-04,13:00:00,7,31,Sunday
185,2019-08-05,10:00:00,110,32,Monday
186,2019-08-05,11:00:00,90,32,Monday
187,2019-08-05,12:00:00,85,32,Monday
188,2019-08-05,13:00:00,23,32,Monday
189,2019-08-06,10:00:00,0,32,Tuesday
190,2019-08-07,10:00:00,0,32,Wednesday
191,2019-08-08,10:00:00,0,32,Thursday
192,2019-08-09,10:00:00,0,32,Friday
193,2019-08-10,10:00:00,0,32,Saturday
194,2019-08-11,10:00:00,104,32,Sunday
195,2019-08-11,11:00:00,41,32,Sunday
196,2019-08-11,12:00:00,16,32,Sunday
197,2019-08-11,13:00:00,5,32,Sunday
198,2019-08-12,10:00:00,41,33,Monday
199,2019-08-12,11:00:00,4,33,Monday
200,2019-08-12,12:00:00,0,33,Monday
201,2019-08-12,13:00:00,0,33,Monday
202,2019-08-13,10:00:00,41,33,Tuesday
203,2019-08-13,11:00:00,111,33,Tuesday
204,2019-08-13,12:00:00,24,33,Tuesday
205,2019-08-13,13:00:00,79,33,Tuesday
206,2019-08-14,10:00:00,83,33,Wednesday
207,2019-08-14,11:00:00,121,33,Wednesday
208,2019-08-14,12:00:00,135,33,Wednesday
209,2019-08-14,13:00:00,81,33,Wednesday
210,2019-08-15,10:00:00,44,33,Thursday
211,2019-08-15,11:00:00,117,33,Thursday
212,2019-08-15,12:00:00,51,33,Thursday
213,2019-08-15,13:00:00,25,33,Thursday
214,2019-08-16,10:00:00,0,33,Friday
215,2019-08-17,10:00:00,0,33,Saturday
216,2019-08-18,10:00:00,33,33,Sunday
217,2019-08-18,11:00:00,18,33,Sunday
218,2019-08-18,12:00:00,79,33,Sunday
219,2019-08-18,13:00:00,55,33,Sunday
220,2019-08-19,10:00:00,86,34,Monday
221,2019-08-19,11:00:00,115,34,Monday
222,2019-08-19,12:00:00,97,34,Monday
223,2019-08-19,13:00:00,14,34,Monday
224,2019-08-20,10:00:00,57,34,Tuesday
225,2019-08-20,11:00:00,73,34,Tuesday
226,2019-08-20,12:00:00,64,34,Tuesday
227,2019-08-20,13:00:00,34,34,Tuesday
228,2019-08-21,10:00:00,4,34,Wednesday
229,2019-08-21,11:00:00,42,34,Wednesday
230,2019-08-21,12:00:00,84,34,Wednesday
231,2019-08-21,13:00:00,41,34,Wednesday
232,2019-08-22,10:00:00,92,34,Thursday
233,2019-08-22,11:00:00,68,34,Thursday
234,2019-08-22,12:00:00,21,34,Thursday
235,2019-08-22,13:00:00,46,34,Thursday
236,2019-08-22,14:00:00,38,34,Thursday
237,2019-08-22,15:00:00,2,34,Thursday
238,2019-08-23,10:00:00,0,34,Friday
239,2019-08-24,10:00:00,0,34,Saturday
240,2019-08-25,10:00:00,77,34,Sunday
241,2019-08-25,11:00:00,88,34,Sunday
242,2019-08-25,12:00:00,70,34,Sunday
243,2019-08-25,13:00:00,8,34,Sunday
244,2019-08-26,10:00:00,109,35,Monday
245,2019-08-26,11:00:00,16,35,Monday
