Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date,PMIS - Total Customer Throughput (Unadjusted)
110,,08:00:00,,3,Monday,,,2019-01-14,2.0
111,,10:00:00,,3,Monday,,,2019-01-14,1.0
112,,11:00:00,,3,Monday,2018-01-15,1.0,,
113,,12:00:00,,3,Monday,,,2019-01-14,1.0
114,,14:00:00,,3,Monday,,,2019-01-14,4.0
115,,15:00:00,,3,Monday,,,2019-01-14,2.0
116,,16:00:00,,3,Monday,2018-01-15,1.0,,
117,,17:00:00,,3,Monday,,,2019-01-14,1.0
118,,18:00:00,,3,Monday,,,2019-01-14,2.0
119,,19:00:00,,3,Monday,2018-01-15,1.0,2019-01-14,1.0
120,,20:00:00,,3,Monday,2018-01-15,18.0,,
121,,21:00:00,,3,Monday,2018-01-15,17.0,2019-01-14,1.0
122,,07:00:00,,3,Saturday,,,2019-01-19,1.0
123,,08:00:00,,3,Saturday,,,2019-01-19,4.0
124,,09:00:00,,3,Saturday,2018-01-20,1.0,,
125,,10:00:00,,3,Saturday,2018-01-20,17.0,,
126,,11:00:00,,3,Saturday,,,2019-01-19,4.0
127,,14:00:00,,3,Saturday,2018-01-20,3.0,,
128,,15:00:00,,3,Saturday,2018-01-20,1.0,,
129,,16:00:00,,3,Saturday,,,2019-01-19,2.0
130,,17:00:00,,3,Saturday,,,2019-01-19,5.0
131,,18:00:00,,3,Saturday,,,2019-01-19,7.0
132,,19:00:00,,3,Saturday,2018-01-20,17.0,,
133,,20:00:00,,3,Saturday,,,2019-01-19,13.0
134,,21:00:00,,3,Saturday,2018-01-20,18.0,,
135,,07:00:00,,3,Sunday,,,2019-01-20,1.0
136,,08:00:00,,3,Sunday,,,2019-01-20,2.0
137,,09:00:00,,3,Sunday,,,2019-01-20,2.0
138,,10:00:00,,3,Sunday,2018-01-21,2.0,2019-01-20,2.0
139,,11:00:00,,3,Sunday,,,2019-01-20,4.0
140,,12:00:00,,3,Sunday,2018-01-21,2.0,2019-01-20,2.0
141,,13:00:00,,3,Sunday,2018-01-21,2.0,,
142,,14:00:00,,3,Sunday,2018-01-21,9.0,2019-01-20,8.0
143,,15:00:00,,3,Sunday,,,2019-01-20,5.0
144,,16:00:00,,3,Sunday,2018-01-21,1.0,,
145,,17:00:00,,3,Sunday,2018-01-21,4.0,2019-01-20,2.0
146,,18:00:00,,3,Sunday,2018-01-21,17.0,,
147,,19:00:00,,3,Sunday,,,2019-01-20,2.0
148,,20:00:00,,3,Sunday,2018-01-21,17.0,2019-01-20,1.0
149,,21:00:00,,3,Sunday,,,2019-01-20,1.0
150,,07:00:00,,3,Thursday,,,2019-01-17,6.0
151,,09:00:00,,3,Thursday,,,2019-01-17,3.0
152,,10:00:00,,3,Thursday,,,2019-01-17,2.0
153,,11:00:00,,3,Thursday,2018-01-18,1.0,2019-01-17,1.0
154,,12:00:00,,3,Thursday,,,2019-01-17,2.0
155,,13:00:00,,3,Thursday,,,2019-01-17,1.0
156,,14:00:00,,3,Thursday,,,2019-01-17,3.0
157,,16:00:00,,3,Thursday,2018-01-18,1.0,2019-01-17,1.0
158,,19:00:00,,3,Thursday,2018-01-18,17.0,2019-01-17,1.0
159,,20:00:00,,3,Thursday,2018-01-18,17.0,2019-01-17,1.0
160,,21:00:00,,3,Thursday,2018-01-18,19.0,,
161,,08:00:00,,3,Tuesday,,,2019-01-15,2.0
162,,10:00:00,,3,Tuesday,,,2019-01-15,4.0
163,,11:00:00,,3,Tuesday,,,2019-01-15,3.0
164,,12:00:00,,3,Tuesday,,,2019-01-15,1.0
165,,14:00:00,,3,Tuesday,,,2019-01-15,1.0
166,,17:00:00,,3,Tuesday,,,2019-01-15,1.0
167,,18:00:00,,3,Tuesday,2018-01-16,1.0,,
168,,19:00:00,,3,Tuesday,2018-01-16,17.0,,
169,,20:00:00,,3,Tuesday,2018-01-16,17.0,2019-01-15,3.0
170,,21:00:00,,3,Tuesday,2018-01-16,17.0,,
171,,07:00:00,,3,Wednesday,2018-01-17,1.0,2019-01-16,1.0
172,,08:00:00,,3,Wednesday,2018-01-17,2.0,2019-01-16,1.0
173,,09:00:00,,3,Wednesday,2018-01-17,4.0,2019-01-16,4.0
174,,11:00:00,,3,Wednesday,,,2019-01-16,2.0
175,,12:00:00,,3,Wednesday,2018-01-17,4.0,,
176,,14:00:00,,3,Wednesday,,,2019-01-16,11.0
177,,16:00:00,,3,Wednesday,2018-01-17,3.0,,
178,,17:00:00,,3,Wednesday,,,2019-01-16,3.0
179,,18:00:00,,3,Wednesday,2018-01-17,2.0,,
180,,20:00:00,,3,Wednesday,2018-01-17,18.0,2019-01-16,2.0
181,,21:00:00,,3,Wednesday,2018-01-17,23.0,2019-01-16,1.0
182,,06:00:00,,4,Friday,,,2019-01-25,4.0
183,,09:00:00,,4,Friday,2018-01-26,1.0,,
184,,11:00:00,,4,Friday,,,2019-01-25,1.0
185,,12:00:00,,4,Friday,2018-01-26,4.0,,
186,,13:00:00,,4,Friday,,,2019-01-25,1.0
187,,14:00:00,,4,Friday,2018-01-26,4.0,,
188,,15:00:00,,4,Friday,2018-01-26,5.0,2019-01-25,6.0
189,,18:00:00,,4,Friday,,,2019-01-25,4.0
190,,19:00:00,,4,Friday,2018-01-26,18.0,,
191,,21:00:00,,4,Friday,2018-01-26,17.0,2019-01-25,2.0
192,,07:00:00,,4,Monday,2018-01-22,2.0,,
193,,09:00:00,,4,Monday,,,2019-01-21,4.0
194,,11:00:00,,4,Monday,,,2019-01-21,11.0
195,,12:00:00,,4,Monday,2018-01-22,2.0,2019-01-21,3.0
196,,14:00:00,,4,Monday,,,2019-01-21,1.0
197,,15:00:00,,4,Monday,2018-01-22,3.0,2019-01-21,4.0
198,,16:00:00,,4,Monday,,,2019-01-21,6.0
