Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
0,2015-01-11,12:00:00,96,2,Sunday
1,2015-01-11,13:00:00,168,2,Sunday
2,2015-01-11,20:00:00,16,2,Sunday
