Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
114,2015-01-28,05:00:00,14,5,Wednesday
115,2015-01-28,06:00:00,128,5,Wednesday
116,2015-01-28,07:00:00,37,5,Wednesday
117,2015-01-28,09:00:00,39,5,Wednesday
118,2015-01-28,10:00:00,103,5,Wednesday
119,2015-01-28,11:00:00,3,5,Wednesday
120,2015-01-28,17:00:00,50,5,Wednesday
121,2015-01-28,18:00:00,52,5,Wednesday
122,2015-01-29,05:00:00,21,5,Thursday
123,2015-01-29,06:00:00,129,5,Thursday
124,2015-01-29,07:00:00,7,5,Thursday
125,2015-01-29,09:00:00,80,5,Thursday
126,2015-01-29,10:00:00,69,5,Thursday
127,2015-01-29,11:00:00,1,5,Thursday
128,2015-01-29,17:00:00,87,5,Thursday
129,2015-01-29,18:00:00,29,5,Thursday
130,2015-01-30,05:00:00,28,5,Friday
131,2015-01-30,06:00:00,120,5,Friday
132,2015-01-30,07:00:00,39,5,Friday
133,2015-01-30,17:00:00,16,5,Friday
134,2015-01-30,18:00:00,85,5,Friday
135,2015-01-30,19:00:00,15,5,Friday
136,2015-01-31,05:00:00,6,5,Saturday
137,2015-01-31,06:00:00,105,5,Saturday
138,2015-01-31,07:00:00,62,5,Saturday
139,2015-01-31,17:00:00,68,5,Saturday
140,2015-01-31,18:00:00,55,5,Saturday
141,2015-02-01,05:00:00,26,5,Sunday
142,2015-02-01,06:00:00,112,5,Sunday
143,2015-02-01,07:00:00,79,5,Sunday
144,2015-02-01,08:00:00,155,5,Sunday
145,2015-02-01,09:00:00,44,5,Sunday
146,2015-02-01,10:00:00,42,5,Sunday
147,2015-02-01,11:00:00,33,5,Sunday
148,2015-02-01,17:00:00,72,5,Sunday
149,2015-02-01,18:00:00,181,5,Sunday
150,2015-02-02,05:00:00,81,6,Monday
151,2015-02-02,06:00:00,219,6,Monday
152,2015-02-02,07:00:00,60,6,Monday
153,2015-02-02,08:00:00,38,6,Monday
154,2015-02-02,09:00:00,45,6,Monday
155,2015-02-02,10:00:00,53,6,Monday
156,2015-02-02,11:00:00,0,6,Monday
157,2015-02-02,13:00:00,47,6,Monday
158,2015-02-02,14:00:00,70,6,Monday
159,2015-02-02,15:00:00,13,6,Monday
160,2015-02-02,16:00:00,25,6,Monday
161,2015-02-02,17:00:00,81,6,Monday
162,2015-02-02,18:00:00,68,6,Monday
163,2015-02-03,05:00:00,47,6,Tuesday
164,2015-02-03,06:00:00,197,6,Tuesday
165,2015-02-03,07:00:00,19,6,Tuesday
166,2015-02-03,08:00:00,23,6,Tuesday
167,2015-02-03,09:00:00,35,6,Tuesday
168,2015-02-03,10:00:00,30,6,Tuesday
169,2015-02-03,18:00:00,52,6,Tuesday
170,2015-02-03,19:00:00,85,6,Tuesday
171,2015-02-04,05:00:00,27,6,Wednesday
172,2015-02-04,06:00:00,146,6,Wednesday
173,2015-02-04,07:00:00,74,6,Wednesday
174,2015-02-04,10:00:00,118,6,Wednesday
175,2015-02-04,17:00:00,92,6,Wednesday
176,2015-02-04,18:00:00,57,6,Wednesday
177,2015-02-05,05:00:00,57,6,Thursday
178,2015-02-05,06:00:00,73,6,Thursday
179,2015-02-05,07:00:00,73,6,Thursday
180,2015-02-05,17:00:00,93,6,Thursday
181,2015-02-05,18:00:00,37,6,Thursday
182,2015-02-06,05:00:00,16,6,Friday
183,2015-02-06,06:00:00,118,6,Friday
184,2015-02-06,07:00:00,70,6,Friday
185,2015-02-06,17:00:00,64,6,Friday
186,2015-02-06,18:00:00,73,6,Friday
187,2015-02-07,05:00:00,6,6,Saturday
188,2015-02-07,06:00:00,123,6,Saturday
189,2015-02-07,07:00:00,92,6,Saturday
190,2015-02-07,17:00:00,122,6,Saturday
191,2015-02-07,18:00:00,31,6,Saturday
192,2015-02-08,05:00:00,18,6,Sunday
193,2015-02-08,06:00:00,121,6,Sunday
194,2015-02-08,07:00:00,90,6,Sunday
195,2015-02-08,08:00:00,75,6,Sunday
196,2015-02-08,09:00:00,48,6,Sunday
197,2015-02-08,17:00:00,63,6,Sunday
198,2015-02-08,18:00:00,100,6,Sunday
199,2015-02-09,05:00:00,34,7,Monday
200,2015-02-09,06:00:00,140,7,Monday
201,2015-02-09,07:00:00,87,7,Monday
202,2015-02-09,09:00:00,48,7,Monday
203,2015-02-09,10:00:00,69,7,Monday
204,2015-02-09,11:00:00,0,7,Monday
205,2015-02-09,17:00:00,70,7,Monday
206,2015-02-09,18:00:00,81,7,Monday
207,2015-02-10,05:00:00,19,7,Tuesday
208,2015-02-10,06:00:00,159,7,Tuesday
209,2015-02-10,07:00:00,75,7,Tuesday
210,2015-02-10,09:00:00,103,7,Tuesday
211,2015-02-10,10:00:00,79,7,Tuesday
212,2015-02-10,11:00:00,7,7,Tuesday
213,2015-02-10,17:00:00,61,7,Tuesday
214,2015-02-10,18:00:00,52,7,Tuesday
215,2015-02-11,05:00:00,19,7,Wednesday
216,2015-02-11,06:00:00,170,7,Wednesday
217,2015-02-11,07:00:00,36,7,Wednesday
218,2015-02-11,08:00:00,10,7,Wednesday
219,2015-02-11,09:00:00,53,7,Wednesday
220,2015-02-11,10:00:00,85,7,Wednesday
221,2015-02-11,11:00:00,49,7,Wednesday
222,2015-02-11,17:00:00,88,7,Wednesday
223,2015-02-11,18:00:00,65,7,Wednesday
224,2015-02-12,05:00:00,59,7,Thursday
225,2015-02-12,06:00:00,103,7,Thursday
226,2015-02-12,07:00:00,71,7,Thursday
227,2015-02-12,17:00:00,22,7,Thursday
228,2015-02-12,18:00:00,90,7,Thursday
229,2015-02-12,19:00:00,49,7,Thursday
230,2015-02-13,05:00:00,17,7,Friday
231,2015-02-13,06:00:00,177,7,Friday
232,2015-02-13,07:00:00,65,7,Friday
233,2015-02-13,17:00:00,161,7,Friday
234,2015-02-14,05:00:00,13,7,Saturday
235,2015-02-14,06:00:00,103,7,Saturday
236,2015-02-14,07:00:00,78,7,Saturday
237,2015-02-14,17:00:00,66,7,Saturday
238,2015-02-14,18:00:00,70,7,Saturday
239,2015-02-14,19:00:00,17,7,Saturday
240,2015-02-15,05:00:00,9,7,Sunday
241,2015-02-15,06:00:00,148,7,Sunday
242,2015-02-15,07:00:00,35,7,Sunday
243,2015-02-15,08:00:00,78,7,Sunday
244,2015-02-15,09:00:00,25,7,Sunday
245,2015-02-15,18:00:00,81,7,Sunday
246,2015-02-15,19:00:00,45,7,Sunday
247,2015-02-16,05:00:00,26,8,Monday
248,2015-02-16,06:00:00,60,8,Monday
249,2015-02-16,07:00:00,75,8,Monday
250,2015-02-16,18:00:00,57,8,Monday
251,2015-02-16,19:00:00,105,8,Monday
252,2015-02-17,05:00:00,9,8,Tuesday
253,2015-02-17,06:00:00,168,8,Tuesday
254,2015-02-17,07:00:00,65,8,Tuesday
255,2015-02-17,09:00:00,44,8,Tuesday
256,2015-02-17,10:00:00,88,8,Tuesday
257,2015-02-17,11:00:00,2,8,Tuesday
258,2015-02-17,17:00:00,140,8,Tuesday
259,2015-02-17,18:00:00,121,8,Tuesday
260,2015-02-18,05:00:00,19,8,Wednesday
261,2015-02-18,06:00:00,125,8,Wednesday
262,2015-02-18,07:00:00,56,8,Wednesday
263,2015-02-18,17:00:00,104,8,Wednesday
264,2015-02-18,18:00:00,62,8,Wednesday
265,2015-02-19,05:00:00,39,8,Thursday
266,2015-02-19,06:00:00,155,8,Thursday
267,2015-02-19,07:00:00,62,8,Thursday
268,2015-02-19,17:00:00,17,8,Thursday
269,2015-02-19,18:00:00,40,8,Thursday
270,2015-02-19,19:00:00,78,8,Thursday
271,2015-02-19,20:00:00,7,8,Thursday
272,2015-02-20,05:00:00,11,8,Friday
273,2015-02-20,06:00:00,92,8,Friday
274,2015-02-20,07:00:00,90,8,Friday
275,2015-02-20,17:00:00,50,8,Friday
276,2015-02-20,18:00:00,90,8,Friday
277,2015-02-21,05:00:00,18,8,Saturday
278,2015-02-21,06:00:00,123,8,Saturday
279,2015-02-21,07:00:00,191,8,Saturday
280,2015-02-21,17:00:00,91,8,Saturday
281,2015-02-21,18:00:00,68,8,Saturday
282,2015-02-22,05:00:00,6,8,Sunday
283,2015-02-22,07:00:00,113,8,Sunday
284,2015-02-22,08:00:00,166,8,Sunday
285,2015-02-22,09:00:00,65,8,Sunday
286,2015-02-22,17:00:00,61,8,Sunday
287,2015-02-22,18:00:00,99,8,Sunday
288,2015-02-23,05:00:00,47,9,Monday
289,2015-02-23,06:00:00,128,9,Monday
290,2015-02-23,07:00:00,51,9,Monday
291,2015-02-23,17:00:00,113,9,Monday
292,2015-02-23,18:00:00,71,9,Monday
293,2015-02-24,05:00:00,21,9,Tuesday
294,2015-02-24,06:00:00,106,9,Tuesday
295,2015-02-24,07:00:00,42,9,Tuesday
296,2015-02-24,08:00:00,0,9,Tuesday
297,2015-02-24,09:00:00,41,9,Tuesday
298,2015-02-24,10:00:00,122,9,Tuesday
299,2015-02-24,17:00:00,90,9,Tuesday
300,2015-02-24,18:00:00,41,9,Tuesday
301,2015-02-25,05:00:00,10,9,Wednesday
302,2015-02-25,06:00:00,78,9,Wednesday
303,2015-02-25,07:00:00,110,9,Wednesday
304,2015-02-25,17:00:00,89,9,Wednesday
305,2015-02-25,18:00:00,79,9,Wednesday
306,2015-02-26,05:00:00,25,9,Thursday
307,2015-02-26,06:00:00,140,9,Thursday
308,2015-02-26,07:00:00,69,9,Thursday
309,2015-02-26,17:00:00,27,9,Thursday
310,2015-02-26,18:00:00,72,9,Thursday
