Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y
0,,14:00:00,,25,Sunday,2018-06-24,1583.0
1,,16:00:00,,26,Monday,2018-06-25,1283.0
2,,20:00:00,,26,Monday,2018-06-25,1509.0
3,,06:00:00,,26,Saturday,2018-06-30,53.0
4,,08:00:00,,26,Saturday,2018-06-30,915.0
5,2017-10-14,16:00:00,954.0,41,Saturday,,
6,2017-10-14,18:00:00,1036.0,41,Saturday,,
7,2017-10-12,21:00:00,1871.0,41,Thursday,,
